Anne E. Trefethen	145	3.57	5	4	3	4	3	3	4	3	3	5	4	3	4	3	3	3	3	3	3	3	5	3	4	4	3	4	4	3	4	5	4	3	4	4	4	4	4	3	5	5	3	4	6	4	3	4	3	3	3	3	4	4	3	3	5	3	3	4	3	3	3	4	3	4	3	4	3	4	4	4	3	3	4	3	3	3	3	4	4	4	3	3	4	5	3	3	3	3	3	3	4	3	3	3	3	4	3	4	4	4	
Zhenwen He	13	4.09	4	4	4	4	4	4	3	4	4	5	4	4	4	4	4	4	4	4	4	4	5	4	4	5	4	4	4	3	4	5	4	3	4	4	4	4	4	4	4	5	4	4	6	5	4	4	3	3	4	3	4	4	4	4	5	5	3	4	4	4	5	4	4	4	5	5	4	5	3	5	4	4	3	4	4	4	3	5	5	4	4	4	4	6	3	4	4	3	4	4	4	4	4	4	4	4	4	5	4	5	
Marcos Aur	108	3.21	4	3	3	4	3	3	3	3	3	4	4	3	4	3	3	3	3	4	3	3	4	3	3	3	2	4	4	2	3	5	3	2	4	3	3	3	4	3	4	4	3	4	5	4	3	3	2	3	3	2	3	3	3	3	4	4	3	4	3	3	3	3	2	3	4	4	3	4	4	4	3	2	4	3	2	3	2	4	3	3	3	3	3	5	3	2	3	3	2	3	3	3	3	3	3	4	3	3	3	3	
Volker Wulf	188	3.47	4	4	3	3	3	3	3	3	4	4	5	4	4	3	4	4	3	4	3	3	4	3	3	4	2	4	4	3	3	5	3	2	4	4	3	3	4	3	5	4	4	4	6	4	4	3	3	3	3	2	4	4	4	3	5	4	3	4	4	4	3	4	3	3	4	5	3	3	3	4	3	2	4	3	2	3	2	4	3	3	3	3	3	5	3	2	4	3	3	4	3	4	3	3	4	4	3	4	3	3	
Alejandra Ruiz	19	4.29	5	4	4	5	4	4	4	4	4	5	5	5	5	4	4	4	4	5	3	4	5	4	4	5	3	5	5	4	4	6	4	3	5	5	4	4	5	4	5	5	5	5	6	5	4	4	3	4	4	3	4	4	4	4	6	4	4	5	4	4	4	5	4	4	5	5	4	5	5	5	4	3	5	4	3	4	3	5	5	4	3	4	4	6	4	3	5	4	4	4	4	4	4	4	4	5	4	4	4	4	
Marco Chiani	94	3.71	4	4	4	3	3	4	4	4	4	5	5	4	4	4	4	4	4	3	4	3	5	3	3	4	3	3	4	2	3	5	4	3	4	4	4	4	4	4	5	4	4	4	5	4	4	4	3	2	3	3	4	3	4	3	5	4	3	4	4	4	4	4	3	3	5	4	3	4	3	5	4	3	3	4	3	3	3	5	4	4	3	3	4	5	3	3	4	3	3	4	4	4	3	3	3	4	3	4	3	4	
Jianfeng Zhan	104	3.52	4	4	4	4	4	3	4	4	4	4	4	4	4	3	4	4	3	4	3	3	4	3	3	3	3	4	4	3	4	5	3	2	4	3	3	3	4	3	5	5	4	4	6	4	4	3	2	3	3	3	3	3	4	3	5	4	3	4	4	4	4	3	2	3	4	3	3	4	3	4	3	3	3	4	3	3	2	4	4	3	3	3	3	5	3	3	4	3	3	3	3	4	4	3	3	4	3	4	3	4	
Doron Lancet	93	4.11	5	4	3	4	4	4	5	4	4	5	5	4	4	4	4	4	4	5	4	4	4	4	4	4	3	4	5	3	4	5	4	3	5	5	4	4	4	4	5	5	4	5	6	5	4	4	3	3	4	4	3	4	4	4	5	4	4	5	4	4	4	4	3	4	5	5	4	4	4	5	4	3	5	4	3	4	3	5	4	4	3	4	4	6	4	3	4	4	3	4	4	4	4	4	4	4	4	5	4	4	
Anthony N. Nguyen	49	4.04	5	4	4	4	4	4	4	4	4	5	4	4	5	4	4	4	4	4	4	4	5	4	4	4	3	5	4	3	4	5	4	3	5	4	4	4	4	4	5	5	4	5	6	5	4	4	3	4	4	4	4	4	4	4	5	5	4	5	4	4	4	4	3	2	5	4	4	4	4	5	3	3	4	4	3	4	3	3	4	4	4	3	4	6	3	3	4	3	3	4	4	4	4	4	4	4	4	5	4	4	
Rolf Johansson	138	3.36	4	4	3	4	3	3	3	3	4	4	4	3	4	3	4	4	3	3	3	3	4	3	3	3	2	4	4	3	3	5	3	2	4	4	3	3	4	3	5	5	3	4	5	4	4	3	2	3	2	3	3	3	4	3	5	4	3	4	4	4	3	4	2	3	4	4	3	4	4	4	3	2	3	3	2	2	2	4	4	3	3	3	3	5	3	2	3	3	3	3	3	4	3	3	3	4	3	4	3	3	
Janpeter Hoeffmann	17	4.61	5	5	4	5	4	4	5	4	5	5	5	5	5	5	5	5	5	4	4	4	5	4	5	5	3	5	5	4	4	6	5	3	5	5	4	4	4	4	6	6	5	5	7	5	5	4	4	4	4	4	5	5	5	4	6	5	5	5	5	5	4	5	4	5	5	6	4	5	5	5	5	3	5	4	3	4	3	6	5	5	4	4	4	6	4	3	5	4	4	5	4	5	4	4	5	5	4	5	5	4	
Tomasz M. Rutkowski	87	3.62	4	4	3	4	4	4	3	3	4	4	5	4	4	3	4	4	3	4	4	3	4	3	4	4	3	4	4	3	4	3	4	2	4	3	3	4	4	4	5	5	4	4	5	4	4	4	3	3	3	2	4	4	4	3	5	4	3	4	4	4	4	4	3	3	4	4	4	4	4	4	3	3	3	3	3	3	2	4	4	3	2	3	3	5	3	3	4	3	3	4	3	4	4	3	3	4	4	4	3	4	
Chao Ma	183	3.67	4	4	4	3	3	3	3	4	4	4	4	4	4	3	4	4	4	3	3	3	5	3	3	4	3	3	3	3	3	4	4	3	4	4	4	4	4	3	4	5	4	4	6	4	4	4	3	3	4	3	4	4	4	4	5	4	3	4	4	4	4	2	3	3	4	4	4	4	3	5	2	3	3	4	3	3	3	4	4	4	3	3	4	5	4	3	4	3	3	4	4	4	3	4	3	4	4	4	4	4	
Thomas P. Bronez	1	5.31	6	5	5	5	5	5	5	5	5	7	6	5	5	5	5	5	5	6	5	5	6	5	5	6	5	5	5	4	5	7	5	5	6	6	6	5	6	5	7	6	5	6	7	6	5	5	4	4	4	5	5	5	5	5	7	6	5	6	5	5	6	6	5	5	6	6	5	5	5	6	6	5	5	5	5	5	5	6	6	5	5	4	5	7	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	6	
Simeon J. Simoff	72	3.95	5	5	4	4	4	4	4	4	4	5	5	4	5	4	4	4	4	4	4	4	5	3	3	4	3	4	4	3	4	5	4	3	4	4	4	4	4	4	5	5	4	4	6	5	4	4	3	3	4	3	4	4	4	4	5	4	3	4	4	4	4	4	3	3	5	5	3	3	3	5	4	3	4	4	3	3	3	5	4	4	3	3	4	6	4	3	4	3	4	4	3	4	3	4	4	4	4	4	4	4	
Luca Magnoni	153	3.64	5	4	4	4	3	3	4	3	3	4	5	3	4	4	3	3	4	4	3	3	5	3	4	4	3	4	4	3	3	5	3	3	4	4	3	4	4	4	5	5	3	4	5	5	3	4	3	3	3	3	4	4	3	3	5	3	3	4	3	3	4	4	3	4	4	4	3	3	4	5	4	3	3	4	3	3	3	4	4	4	3	4	4	5	3	3	3	3	3	4	3	3	3	3	4	4	4	4	3	4	
Sebastien Goasguen	141	3.46	4	4	3	4	3	3	4	3	3	4	4	3	4	3	3	3	4	4	3	3	4	3	4	4	2	4	4	3	3	5	4	2	4	4	3	3	4	3	5	5	3	4	6	4	3	3	3	3	3	3	4	4	3	3	5	4	4	4	3	3	3	4	3	4	4	3	2	4	4	4	3	2	4	3	2	3	2	4	4	4	3	3	3	5	3	2	3	3	3	4	3	3	3	3	4	4	3	4	4	3	
Chulwoo Kim	128	4.26	3	5	4	4	5	4	4	5	5	5	4	5	5	4	5	5	4	4	4	4	5	3	4	4	4	4	3	3	4	5	4	3	5	3	4	4	3	4	5	6	5	5	6	5	5	3	3	4	4	4	4	4	5	3	6	5	4	4	5	5	5	4	3	3	5	5	4	5	4	5	4	4	4	4	4	4	3	4	4	4	4	4	4	6	4	4	5	4	4	4	4	5	4	4	4	5	4	5	4	5	
Francis Lawrence	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
Walter Willinger	131	3.53	4	4	3	4	3	3	4	3	4	4	5	4	4	3	4	4	4	4	3	3	4	2	4	4	2	4	4	3	3	5	3	2	4	4	3	3	4	3	4	5	4	4	6	4	4	3	3	3	3	3	4	4	4	3	5	4	4	4	4	4	3	3	3	3	4	4	3	4	3	4	4	2	4	3	2	3	2	4	3	4	3	3	3	5	3	2	4	3	3	4	3	4	3	3	3	4	3	4	4	3	
Simon White	140	3.98	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	5	4	4	4	3	4	4	3	4	5	4	3	5	4	4	4	4	3	5	5	4	5	6	5	4	4	3	3	3	3	4	4	4	3	5	4	4	5	4	4	4	4	3	4	4	4	4	3	4	5	4	3	4	4	3	3	3	5	4	4	4	4	4	6	4	3	4	3	3	4	4	4	4	3	4	4	4	5	4	4	
Francois Dehmas	34	3.59	5	3	3	4	3	4	4	4	3	5	5	4	4	4	3	3	3	4	4	3	5	4	3	4	3	4	4	3	4	5	4	3	4	4	4	3	3	3	4	4	4	4	5	4	3	4	2	3	3	3	3	3	3	3	5	3	4	4	3	3	4	4	3	4	4	4	3	4	4	4	3	3	3	4	3	2	3	5	4	3	3	3	3	5	3	3	4	3	3	3	4	3	4	3	3	4	4	4	3	4	
Allison Druin	228	3.57	4	4	3	3	4	3	4	3	4	5	5	3	4	3	4	4	4	4	4	3	5	3	4	4	3	4	4	3	3	4	3	3	4	4	3	3	3	4	4	4	3	4	5	3	4	3	3	3	3	3	4	3	4	3	5	3	4	4	4	4	3	4	3	3	4	4	3	3	3	5	3	3	3	3	3	2	3	5	4	4	2	3	4	5	3	3	3	3	3	4	4	4	3	3	3	4	4	4	4	4	
Thomas Janssens	22	4.3	5	5	4	5	4	4	4	4	5	5	5	4	5	4	5	5	4	5	4	4	5	4	4	4	4	4	5	3	4	6	4	3	5	4	4	4	4	4	5	5	4	5	6	5	5	4	3	3	4	3	4	4	5	4	5	4	4	5	5	5	5	4	3	4	5	5	4	4	5	5	3	4	4	4	4	3	3	5	5	4	3	4	4	6	4	4	4	4	4	4	4	5	4	4	4	5	4	5	4	5	
Lijun Zhang	116	3.9	5	5	4	4	4	4	3	4	4	5	4	4	5	4	4	4	4	4	3	3	5	3	4	4	3	4	4	3	4	5	4	3	4	4	4	4	4	4	5	5	4	4	6	4	4	4	3	3	4	3	4	4	4	4	5	4	3	4	4	4	4	3	3	3	4	5	4	4	3	5	4	3	3	4	3	4	3	4	4	4	4	3	4	5	4	3	4	2	4	4	4	4	3	4	3	4	4	5	4	4	
Claude Thibeault	71	3.62	4	4	3	4	3	4	3	3	4	4	5	4	4	3	4	4	3	4	4	3	4	3	4	4	3	4	4	3	4	5	4	2	4	4	3	4	4	4	5	5	4	4	5	4	4	4	3	3	3	2	4	4	4	3	5	4	3	4	4	4	4	4	3	3	4	4	4	4	4	4	3	3	3	3	3	3	2	4	4	3	2	3	4	5	2	3	4	3	3	3	3	4	4	3	3	4	3	4	3	4	
C. H. Chang	24	4.35	5	5	5	4	5	4	4	4	5	5	4	5	5	4	5	5	4	4	4	4	5	4	4	4	4	5	4	4	3	5	4	3	4	5	4	4	4	4	5	5	5	5	6	5	5	4	3	4	4	4	4	4	5	4	6	5	4	4	5	5	5	4	3	4	5	5	4	4	4	5	4	4	4	5	4	4	3	5	5	4	3	4	4	6	4	4	5	4	4	4	4	5	4	4	4	4	4	5	4	5	
Rajeev Sharma	121	3.88	5	5	4	4	3	3	4	4	4	5	4	4	4	4	4	4	4	4	4	3	4	3	3	4	3	4	4	3	3	5	4	3	5	4	4	4	4	4	5	5	4	4	5	5	4	4	3	3	4	3	4	4	4	3	5	4	3	5	4	4	4	4	3	4	4	4	4	4	4	5	3	3	4	3	3	3	3	5	4	4	3	4	4	5	4	3	4	3	3	4	4	4	3	4	4	4	4	4	4	4	
Anna Rita Fasolino	61	4.17	5	4	3	5	4	4	4	4	4	5	5	5	5	4	4	4	4	4	4	4	5	4	4	4	3	4	5	3	4	5	4	3	5	5	4	3	5	4	5	5	5	5	6	5	4	4	3	3	4	4	4	4	4	4	6	4	4	5	4	4	4	4	3	4	5	5	4	5	4	5	4	3	4	4	3	4	3	5	4	4	3	4	4	6	4	3	5	4	4	4	4	4	4	4	4	4	4	5	3	4	
Xin-Jun Liu	25	3.82	5	4	4	4	4	4	3	4	3	5	4	4	4	3	3	3	4	4	3	3	5	3	4	4	3	4	4	4	4	5	4	3	5	4	4	4	4	3	5	5	4	4	6	5	3	3	3	4	4	4	4	4	3	4	5	4	3	4	3	3	4	3	4	3	5	4	4	4	3	5	4	3	4	3	3	4	3	4	5	4	3	3	4	5	4	3	4	3	4	4	3	3	3	4	3	4	4	4	4	4	
Rasmus Larsen	144	3.57	5	3	3	4	3	4	4	3	3	5	5	4	4	4	3	3	3	4	4	3	5	4	3	4	3	4	4	3	4	5	4	3	4	4	4	3	3	3	4	4	4	4	5	4	3	4	2	3	3	3	3	3	3	3	5	3	3	4	3	3	4	4	3	4	4	4	3	4	4	4	3	3	3	4	3	2	3	5	4	3	3	3	3	5	3	3	4	3	3	3	4	3	4	3	3	4	4	4	3	4	
Eugenii A. Rabiner	112	3.98	5	4	4	4	2	4	4	4	4	5	5	4	4	4	4	4	4	4	4	4	5	4	4	4	3	4	5	3	4	5	4	3	5	4	4	4	4	4	5	5	4	5	6	5	4	4	3	3	4	3	4	4	4	3	5	4	4	5	4	4	4	4	4	4	4	3	3	4	4	5	4	3	4	4	3	3	2	5	4	4	3	4	4	5	4	3	4	4	4	3	4	4	4	3	4	4	4	4	4	4	
Lijun Wang	144	3.71	4	4	4	4	3	4	3	4	4	4	4	4	4	3	4	4	4	4	3	3	4	3	3	4	3	4	4	3	3	4	4	3	4	4	4	4	4	3	5	5	4	4	5	4	4	3	3	3	4	3	4	4	4	4	5	4	3	4	4	4	4	3	3	3	4	4	3	4	3	5	4	3	3	4	3	3	3	4	4	4	4	3	4	5	4	3	4	2	3	4	3	4	3	4	2	4	4	5	4	4	
Bruce H. Krogh	128	3.24	4	4	2	4	3	3	3	3	3	4	4	3	4	3	3	3	3	4	3	3	4	3	3	3	2	4	3	3	3	5	3	2	4	4	3	3	3	3	5	5	3	4	6	4	3	3	2	3	3	2	3	3	3	3	4	4	3	4	3	3	3	3	2	3	4	4	3	4	3	4	3	2	3	3	2	3	2	4	4	3	3	3	3	5	3	2	3	3	2	3	3	3	3	3	3	4	3	4	3	3	
Richard Fallows	24	5.49	6	5	6	6	6	5	6	5	6	6	6	6	6	5	6	6	5	6	5	5	6	5	5	5	5	6	6	4	6	7	5	4	6	5	5	5	6	5	6	7	6	6	8	7	6	5	4	5	5	5	5	5	6	5	7	5	5	6	6	6	6	6	4	5	6	6	5	6	5	6	5	5	6	6	5	5	4	6	5	5	5	5	5	7	5	5	6	5	5	5	5	6	5	5	5	6	5	6	5	6	
Shuang Li	151	3.78	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	3	3	5	3	3	4	3	4	4	3	4	4	4	3	4	4	4	4	3	4	5	5	4	3	6	5	4	3	3	3	3	3	4	4	4	4	5	4	3	4	4	4	4	3	3	3	5	4	4	4	3	5	4	3	3	4	3	3	3	4	4	4	4	3	3	5	4	3	4	3	4	4	4	4	3	4	3	3	4	4	4	4	
Nicolas Baghdadi	92	3.36	5	3	3	4	3	4	4	3	3	4	4	4	4	3	3	3	3	4	3	3	4	3	3	3	3	4	4	2	4	5	3	2	4	3	3	3	3	3	4	4	4	4	5	4	3	3	2	3	3	3	3	3	3	3	5	3	3	4	3	3	4	4	2	3	4	4	3	4	4	4	3	3	3	4	3	2	2	4	3	3	3	3	3	5	2	3	4	3	3	3	3	3	4	3	3	4	3	4	3	4	
Jianying Zhou	123	3.43	5	4	4	4	4	3	3	4	3	4	4	4	4	3	3	3	3	3	3	3	4	3	3	3	3	4	4	3	4	4	3	2	4	4	3	3	4	3	5	5	4	4	6	5	3	3	2	3	3	3	3	3	3	3	4	4	3	4	3	3	4	4	2	3	4	4	3	4	3	4	3	3	3	3	3	3	2	4	4	3	3	3	3	5	3	3	4	2	3	3	3	3	4	3	3	4	3	4	3	4	
Xu Han	132	3.75	4	4	3	4	4	4	3	4	4	4	4	4	4	3	4	4	4	4	3	3	5	3	3	4	3	4	3	3	3	5	4	3	4	3	4	4	4	3	4	5	4	4	6	5	4	4	3	3	3	3	4	4	4	4	5	4	3	4	4	4	4	3	3	4	4	4	4	4	3	5	4	3	3	3	3	3	3	5	4	4	3	3	4	5	4	3	4	3	4	4	4	4	3	4	3	4	3	4	4	4	
Bo Song	119	3.78	5	4	4	4	4	4	3	4	4	4	4	3	4	4	4	4	4	4	3	3	5	3	4	4	3	4	4	3	3	5	4	3	4	4	4	4	4	3	4	5	3	4	6	5	4	4	3	3	4	3	4	4	4	4	5	4	3	4	4	4	4	3	3	3	4	5	4	4	3	5	4	3	3	4	3	3	3	4	4	4	3	4	4	5	3	3	3	3	4	4	4	4	3	3	3	3	4	4	4	4	
Dongho Kim	83	4.12	5	4	4	4	4	3	4	4	4	5	5	4	5	3	4	4	4	4	4	4	5	3	4	4	4	4	5	3	4	5	4	3	4	4	4	4	4	4	6	5	4	5	6	5	4	3	3	3	4	4	4	4	4	4	5	5	4	4	4	4	5	3	3	4	5	5	4	5	4	5	4	4	4	4	4	4	3	5	4	4	3	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	5	3	5	
Eliathamby Ambikairajah	97	3.53	4	3	3	4	3	4	3	4	3	4	4	4	4	4	3	3	3	3	4	3	5	4	3	4	3	4	4	3	3	4	4	3	4	4	4	3	4	3	5	4	4	4	5	5	3	4	2	3	3	3	3	3	3	3	5	4	3	4	3	3	4	3	3	3	5	4	3	4	3	4	4	3	4	4	3	3	3	4	4	3	3	4	3	5	2	3	4	3	3	3	4	3	3	3	3	4	3	4	3	4	
Sheng Bi	79	3.89	4	5	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	3	4	5	3	3	4	3	4	4	3	3	4	4	3	4	4	3	4	4	4	5	5	4	4	6	5	4	4	3	3	4	4	4	4	4	4	5	4	3	4	4	4	4	3	3	3	4	4	4	4	3	5	4	3	3	4	3	4	3	4	5	4	4	3	4	6	3	3	4	3	4	4	4	4	4	4	3	4	3	5	4	4	
Michael C. Mulder	32	4.22	5	5	3	5	4	4	4	4	5	5	5	4	5	4	5	5	4	5	3	3	5	4	4	4	3	4	5	4	4	5	4	2	5	5	3	4	4	4	5	6	4	5	6	5	5	4	4	3	4	3	5	5	5	4	6	4	4	5	5	5	4	4	4	4	4	5	4	4	4	5	4	3	4	4	3	3	3	4	4	4	4	4	4	6	4	3	4	4	4	4	4	5	4	4	4	5	3	4	4	4	
Chunlei Liu	127	3.71	5	4	4	4	3	4	4	4	4	4	4	4	4	3	4	4	3	4	4	3	4	3	3	4	3	4	4	3	3	4	3	3	4	3	4	4	4	4	5	5	4	4	6	5	4	4	3	3	4	3	4	4	4	4	5	4	1	4	4	4	4	3	3	3	4	4	3	4	3	5	3	3	3	4	3	3	3	4	4	4	3	3	4	4	4	3	4	2	3	4	4	4	4	4	3	4	3	4	4	4	
Jianfeng Wang	129	3.71	4	4	4	4	3	4	3	4	4	4	4	4	5	3	4	4	4	3	3	3	5	3	3	4	3	4	3	3	4	5	3	3	4	3	4	4	4	3	5	5	4	4	5	5	4	4	3	3	4	3	4	4	4	3	5	4	3	4	4	4	4	3	3	3	4	4	4	4	3	5	4	3	3	3	3	3	3	4	4	4	3	3	4	5	4	3	4	3	3	3	3	4	3	4	3	3	4	5	4	4	
Jianbo Lu	46	3.88	5	5	4	4	4	4	3	4	4	5	4	4	5	4	4	4	4	4	3	3	5	3	4	4	3	4	4	3	3	5	4	3	4	4	4	4	4	4	5	5	4	4	6	5	4	4	3	3	3	3	4	4	4	4	5	4	3	4	4	4	4	3	3	3	4	4	4	4	3	5	4	3	3	4	3	3	3	4	5	4	4	3	4	5	4	3	4	3	4	4	3	4	3	4	3	4	4	5	4	4	
Panagiotis Petridis	70	3.62	4	4	3	4	3	4	3	3	4	5	5	4	4	3	4	4	3	4	4	3	4	3	4	4	3	4	4	3	4	5	4	2	4	4	3	3	3	4	4	5	4	5	6	4	4	4	3	3	3	2	4	3	4	3	5	3	3	4	4	4	4	4	3	4	4	4	3	4	4	4	3	3	3	3	3	2	2	4	4	3	3	3	4	5	3	3	4	3	3	4	3	4	4	3	3	3	4	4	3	4	
Michael J	139	3.55	4	4	3	4	3	3	4	3	4	4	5	4	4	3	4	4	3	4	3	3	4	3	4	4	2	4	4	3	3	5	4	2	4	4	3	3	4	3	5	5	4	4	5	4	4	3	3	3	3	3	4	4	4	3	5	4	3	4	4	4	3	4	3	4	4	4	3	3	4	4	4	2	4	3	2	3	2	4	4	4	3	3	3	5	3	2	4	3	3	3	3	4	3	3	3	4	3	4	4	3	
Michael K	187	3.37	4	4	3	4	3	3	3	3	4	4	4	4	4	3	4	4	3	4	3	3	4	3	3	3	2	3	4	2	3	5	3	2	4	4	3	3	4	3	5	4	4	4	5	4	4	3	2	2	3	3	3	3	4	3	5	4	3	4	4	4	3	4	2	3	4	4	3	3	4	4	3	2	3	3	2	3	2	4	4	3	3	3	3	5	3	2	4	3	3	3	3	4	3	3	3	4	3	4	3	3	
Mehmet Hadi G	13	4.52	6	5	5	5	5	5	4	5	5	5	5	5	4	4	5	5	4	5	4	4	5	3	4	5	4	4	5	4	5	6	4	4	5	4	4	4	4	4	5	5	5	5	7	5	5	5	4	4	4	4	5	4	5	4	6	4	4	4	5	5	4	4	4	4	4	5	4	5	4	6	4	4	4	4	4	3	4	5	5	5	4	4	4	6	4	4	5	4	4	5	4	5	4	4	4	5	4	5	5	5	
